,CountryName,ISO3,Observed_Tonnes,Pred_Consumption_2017_mg,Tot_PCU_2017
132,Micronesia (Federated States of),FSM,NA,488068831.5,6785578.254
133,Monaco,MCO,NA,0,0
134,Mongolia,MNG,NA,34988025227,788394449.4
135,Montenegro,MNE,NA,3000187022,51897058.16
136,Montserrat,MSR,NA,173953439.9,3944119.874
137,Morocco,MAR,NA,1.67836E+11,3663843018
138,Mozambique,MOZ,NA,35749187592,847608704.1
139,Myanmar,MMR,NA,4.54293E+11,10614517784
140,Namibia,NAM,NA,62406237853,1378301037
141,Nauru,NRU,NA,0,0
142,Nepal,NPL,NA,55618180995,1370505532
143,Netherlands,NLD,188.415,1.88415E+11,7568298492
144,Netherlands Antilles,ANT,NA,0,0
145,New Caledonia,NCL,NA,1436434197,32568879.74
146,New Zealand,NZL,70.406,70406000000,3797002624
147,Nicaragua,NIC,NA,97504297044,2117078706
148,Niger,NER,NA,2.20388E+11,5055956478
149,Nigeria,NGA,NA,3.31187E+11,6530623633
150,Niue,NIU,NA,1721435.49,39030.83454
151,Northern Mariana Islands,MNP,NA,0,0
152,Norway,NOR,5.9,5900000000,967466114.6
153,Occupied Palestinian Territory,PSE,NA,0,0
154,Oman,OMN,NA,5251336537,115945588
155,Pakistan,PAK,NA,7.93701E+11,18478171162
156,Palau,PLW,NA,0,0
157,Panama,PAN,NA,67193781946,1278286996
158,Papua New Guinea,PNG,NA,17782613915,215610962.8
159,Paraguay,PRY,NA,3.02226E+11,6230929379
160,Peru,PER,NA,3.39457E+11,6202913618
161,Philippines,PHL,NA,5.36819E+11,7000062931
162,Poland,POL,749.435,7.49435E+11,10617328482
163,Portugal,PRT,130.022,1.30022E+11,2112746488
164,Puerto Rico,PRI,NA,4994535238,113243208.7
165,Qatar,QAT,NA,2288375314,45650165
166,Réunion,REU,NA,601410860.1,13636042.65
167,Republic of Korea,KOR,1003.59,1.00359E+12,5917564938
168,Republic of Moldova,MDA,NA,20854709532,345197341.9
169,Romania,ROU,263.053,2.63053E+11,3296714042
170,Russian Federation,RUS,NA,1.71442E+12,25839679382
171,Rwanda,RWA,NA,14737988873,367908192.4
172,"Saint Helena, Ascension and Tristan da Cunha",SHN,NA,0,0
173,Saint Kitts and Nevis,KNA,NA,144023074.9,2197291.149
174,Saint Lucia,LCA,NA,1144794543,14262512.53
175,Saint Pierre and Miquelon,SPM,NA,0,0
176,Saint Vincent and the Grenadines,VCT,NA,304766675.5,4505329.561
177,Samoa,WSM,NA,1952686867,26247834.5
178,San Marino,SMR,NA,0,0
179,Sao Tome and Principe,STP,NA,595177137.3,8068578.471
180,Saudi Arabia,SAU,NA,85983722179,1726103626
181,Senegal,SEN,NA,70155534467,1741777875
182,Serbia,SRB,NA,0,0
183,Seychelles,SYC,NA,162666813.3,1260026.234
184,Sierra Leone,SLE,NA,8337572652,217063538.8
185,Singapore,SGP,NA,11166782276,220702068.8
186,Slovakia,SVK,13.913,13913000000,540268300.8
187,Slovenia,SVN,6.712,6712000000,467612911.5
188,Solomon Islands,SLB,NA,755079758.2,11350691.94
189,Somalia,SOM,NA,44836964596,1016607451
190,South Africa,ZAF,NA,7.92592E+11,16162956661
191,Spain,ESP,1761.67,1.76167E+12,14029653971
192,Sri Lanka,LKA,NA,33410322694,696059558.6
193,Sudan (former),SDN,NA,0,0
194,Suriname,SUR,NA,3453712782,61458966.34
195,Swaziland,SWZ,NA,0,0
196,Sweden,SWE,10.311,10311000000,1712926429
197,Switzerland,CHE,32.021,32021000000,1435835693
198,Syrian Arab Republic,SYR,NA,15436277053,349993234.7
199,Tajikistan,TJK,NA,33429960443,765382082.3
200,Thailand,THA,3691.461,3.69146E+12,8297320690
201,The former Yugoslav Republic of Macedonia,MKD,NA,0,0
202,Timor-Leste,TLS,NA,6148775844,69195774.1
203,Togo,TGO,NA,9121383085,283204585.3
204,Tokelau,TKL,NA,0,0
205,Tonga,TON,NA,1053692310,11719578.39
206,Trinidad and Tobago,TTO,NA,15631886458,302358346.4
207,Tunisia,TUN,NA,44603682915,957774440.3
208,Turkey,TUR,NA,6.21948E+11,13352117679
209,Turkmenistan,TKM,NA,43925762446,985573175.6
210,Turks and Caicos Islands,TCA,NA,0,0
211,Tuvalu,TUV,NA,10705613.3,445104.2184
212,Uganda,UGA,NA,1.76976E+11,4052192983
213,Ukraine,UKR,NA,5.84196E+11,8296759026
214,United Arab Emirates,ARE,NA,10720783423,220255114.3
215,United Kingdom of Great Britain and Northern Ireland,GBR,248.188,2.48188E+11,11679902039
216,United Republic of Tanzania,TZA,NA,2.21148E+11,5097629494
217,United States of America,USA,6538.517,6.53852E+12,1.45486E+11
218,United States Virgin Islands,VIR,NA,146691092.9,3325989.157
219,Uruguay,URY,NA,2.71028E+11,6053075513
220,Uzbekistan,UZB,NA,1.74229E+11,3925235741
221,Vanuatu,VUT,NA,3683380286,68741450.47
222,Venezuela (Bolivarian Republic of),VEN,NA,4.75958E+11,9444404555
223,Viet Nam,VNM,NA,8.91605E+11,10910832325
224,Wallis and Futuna Islands,WLF,NA,930627.2315,21100.5046
225,Western Sahara,ESH,NA,0,0
226,Yemen,YEM,NA,36940380704,910411608.9
227,Zambia,ZMB,NA,73707967893,1724121486
228,Zimbabwe,ZWE,NA,1.06739E+11,2541477539
