,CountryName,ISO3,Pred_Consumption_2017_mg,Tot_PCU_2017
193,Sudan (former),SDN,0,0
194,Suriname,SUR,3453712782,61458966.34
195,Swaziland,SWZ,0,0
196,Sweden,SWE,10311000000,1712926429
197,Switzerland,CHE,32021000000,1435835693
198,Syrian Arab Republic,SYR,15436277053,349993234.7
199,Tajikistan,TJK,33429960443,765382082.3
200,Thailand,THA,3.69146E+12,8297320690
201,The former Yugoslav Republic of Macedonia,MKD,0,0
202,Timor-Leste,TLS,6148775844,69195774.1
203,Togo,TGO,9121383085,283204585.3
204,Tokelau,TKL,0,0
205,Tonga,TON,1053692310,11719578.39
206,Trinidad and Tobago,TTO,15631886458,302358346.4
207,Tunisia,TUN,44603682915,957774440.3
208,Turkey,TUR,6.21948E+11,13352117679
209,Turkmenistan,TKM,43925762446,985573175.6
210,Turks and Caicos Islands,TCA,0,0
211,Tuvalu,TUV,10705613.3,445104.2184
212,Uganda,UGA,1.76976E+11,4052192983
213,Ukraine,UKR,5.84196E+11,8296759026
214,United Arab Emirates,ARE,10720783423,220255114.3
215,United Kingdom of Great Britain and Northern Ireland,GBR,2.48188E+11,11679902039
216,United Republic of Tanzania,TZA,2.21148E+11,5097629494
217,United States of America,USA,6.53852E+12,1.45486E+11
218,United States Virgin Islands,VIR,146691092.9,3325989.157
219,Uruguay,URY,2.71028E+11,6053075513
220,Uzbekistan,UZB,1.74229E+11,3925235741
221,Vanuatu,VUT,3683380286,68741450.47
222,Venezuela (Bolivarian Republic of),VEN,4.75958E+11,9444404555
223,Viet Nam,VNM,8.91605E+11,10910832325
224,Wallis and Futuna Islands,WLF,930627.2315,21100.5046
225,Western Sahara,ESH,0,0
226,Yemen,YEM,36940380704,910411608.9
227,Zambia,ZMB,73707967893,1724121486
228,Zimbabwe,ZWE,1.06739E+11,2541477539
