"","CountryName","ISO3","mgPCUSales","Standardized"
"118","Lithuania","LTU",14.94581912,1
"119","Luxembourg","LUX",12.47801264,1
"120","Madagascar","MDG",44.27894374,0
"121","Malawi","MWI",37.52450569,0
"122","Malaysia","MYS",57.84574437,0
"123","Maldives","MDV",NA,0
"124","Mali","MLI",41.43980772,0
"125","Malta","MLT",54.93377969,1
"126","Marshall Islands","MHL",NA,0
"127","Martinique","MTQ",60.04332124,0
"128","Mauritania","MRT",42.38228431,0
"129","Mauritius","MUS",49.81960474,0
"130","Mayotte","MYT",NA,0
"131","Mexico","MEX",53.58758849,0
"132","Micronesia (Federated States of)","FSM",37.47641873,0
"133","Monaco","MCO",NA,0
"134","Mongolia","MNG",43.20692313,0
"135","Montenegro","MNE",51.01439746,0
"136","Montserrat","MSR",43.77067147,0
"137","Morocco","MAR",45.16526599,0
"138","Mozambique","MOZ",36.21395046,0
"139","Myanmar","MMR",38.0400071,0
"140","Namibia","NAM",43.50853255,0
"141","Nauru","NRU",NA,0
"142","Nepal","NPL",41.27232252,0
"143","Netherlands","NLD",25.61077852,1
"144","Netherlands Antilles","ANT",NA,0
"145","New Caledonia","NCL",43.77227744,0
"146","New Zealand","NZL",18.94838684,1
"147","Nicaragua","NIC",43.39038414,0
"148","Niger","NER",42.80613724,0
"149","Nigeria","NGA",40.34599008,0
"150","Niue","NIU",29.03601929,0
"151","Northern Mariana Islands","MNP",NA,0
"152","Norway","NOR",7.216566875,1
"153","Occupied Palestinian Territory","PSE",NA,0
"154","Oman","OMN",44.63742007,0
"155","Pakistan","PAK",42.46126581,0
"156","Palau","PLW",NA,0
"157","Panama","PAN",49.81260682,0
"158","Papua New Guinea","PNG",41.13320134,0
"159","Paraguay","PRY",44.6292752,0
"160","Peru","PER",49.97433428,0
"161","Philippines","PHL",54.1290677,0
"162","Poland","POL",75.94711212,1
"163","Portugal","PRT",31.14529885,1
"164","Puerto Rico","PRI",53.93159361,0
"165","Qatar","QAT",50.76878071,0
"166","Réunion","REU",52.88695133,0
"167","Republic of Korea","KOR",166.4862494,1
"168","Republic of Moldova","MDA",37.75564814,0
"169","Romania","ROU",84.12890446,1
"170","Russian Federation","RUS",65.62672731,0
"171","Rwanda","RWA",34.55096243,0
"172","Saint Helena, Ascension and Tristan da Cunha","SHN",NA,0
"173","Saint Kitts and Nevis","KNA",53.86858937,0
"174","Saint Lucia","LCA",55.21457972,0
"175","Saint Pierre and Miquelon","SPM",10.37120713,0
"176","Saint Vincent and the Grenadines","VCT",59.98691399,0
"177","Samoa","WSM",35.82169125,0
"178","San Marino","SMR",NA,0
"179","Sao Tome and Principe","STP",36.50248152,0
"180","Saudi Arabia","SAU",50.54240765,0
"181","Senegal","SEN",38.3445601,0
"182","Serbia","SRB",80.58970702,0
"183","Seychelles","SYC",127.1659566,0
"184","Sierra Leone","SLE",35.50299284,0
"185","Singapore","SGP",51.84876307,0
"186","Slovakia","SVK",26.5605716,1
"187","Slovenia","SVN",13.86878929,1
"188","Solomon Islands","SLB",45.2757123,0
"189","Somalia","SOM",43.28333678,0
"190","South Africa","ZAF",47.84623768,0
"191","Spain","ESP",128.5890653,1
"192","Sri Lanka","LKA",47.36092171,0
"193","Sudan (former)","SDN",NA,0
"194","Suriname","SUR",50.13675164,0
"195","Swaziland","SWZ",NA,0
"196","Sweden","SWE",6.08004817,1
"197","Switzerland","CHE",23.05575521,1
"198","Syrian Arab Republic","SYR",46.5922568,0
"199","Tajikistan","TJK",42.6509742,0
"200","Thailand","THA",516.6379884,1
"201","The former Yugoslav Republic of Macedonia","MKD",NA,0
"202","Timor-Leste","TLS",39.70467214,0
"203","Togo","TGO",33.82377526,0
"204","Tokelau","TKL",NA,0
"205","Tonga","TON",52.05200626,0
"206","Trinidad and Tobago","TTO",52.47704136,0
"207","Tunisia","TUN",46.87086597,0
"208","Turkey","TUR",46.20543328,0
"209","Turkmenistan","TKM",43.57097449,0
"210","Turks and Caicos Islands","TCA",NA,0
"211","Tuvalu","TUV",NA,0
"212","Uganda","UGA",41.42131163,0
"213","Ukraine","UKR",54.59866616,0
"214","United Arab Emirates","ARE",49.01375335,0
"215","United Kingdom of Great Britain and Northern Ireland","GBR",21.1061406,1
"216","United Republic of Tanzania","TZA",41.98462125,0
"217","United States of America","USA",46.34293718,1
"218","United States Virgin Islands","VIR",43.89359002,0
"219","Uruguay","URY",43.71360729,0
"220","Uzbekistan","UZB",42.24150113,0
"221","Vanuatu","VUT",41.42429852,0
"222","Venezuela (Bolivarian Republic of)","VEN",48.87610143,0
"223","Viet Nam","VNM",47.47522432,0
"224","Wallis and Futuna Islands","WLF",43.17972683,0
"225","Western Sahara","ESH",NA,0
"226","Yemen","YEM",43.54075826,0
"227","Zambia","ZMB",40.15686629,0
"228","Zimbabwe","ZWE",42.22034042,0
